id;user_email_address;question;answer
6;gaman@gmail.com;E pe benzina sau fara?;NULL
7;valeriu@gmail.com;Canapeaua este incapatoare?;NULL
8;carla.floricel@gmail.com;Cati cai are?;NULL
9;bogdan@roman.com;Sal. Acceleratia trebuie calcata pana la podea?;NULL
10;vio@gmail.com;Este ok sa cari bebelusi in aceasta masina?;NULL
11;costasu@gmail.com;Consuma mult? Pentru ca vreau sa merg doar pana la sala si inapoi...;NULL
12;bogdan@roman.com;Sal. Tot eu. Este potrivita pentru drifturi?;NULL
13;iustin@gmail.com;Buna ziua! Are incarcare wireless pentru telefon?;NULL
14;soni@soni.com;Buna ziua! Are garda mare la sol?;NULL
15;tiberiu.irinel@gmail.com;Nu mi-ati raspuns. In cate secunde prinde suta??;NULL
16;irinel.tiberiu@gmail.com;Suta in cate secunde o prinde?;NULL
1;miha@pop.com;Ce faci?;fdsa
2;alexa@pop.com;Ce ai facut de revelion?;Am mers la Mihaela
3;florin@pop.com;Aceasta masina este buna pentru drumuri de munte?;NU, E LASATA RAU
4;soni@soni.com;Ce capacitate are portbagajul?;15l
5;tiberiu.irinel@gmail.com;In cate secunde prinde suta?;3s
