id;email_address;first_name;last_name;password;admin_rights
1;secondary Direct multi-byte;Shaun;Kris;red reboot;true
2;Administrator Representative;Vida;Kris;Personal Loan Account invoice;false
3;Tasty Plastic Pants circuit Philippine Peso;Dannie;Schuppe;Reverse-engineered convergence French Polynesia;true
4;programming Mexican Peso Mexican Unidad de Inversion (UDI);Roma;Cremin;one-to-one;false
5;copy;Buddy;Becker;hack Marketing;false
6;methodologies;Devan;Kutch;Team-oriented Dynamic Gloves;true
7;Officer Concrete;Carter;Lehner;primary;true
8;Maryland Legacy PCI;Emma;Hayes;e-commerce Outdoors;false
9;installation Chair Concrete;Susanna;Cremin;Intranet Tools;true
10;Djibouti Franc;Kellen;O'Keefe;Toys Trinidad and Tobago Fantastic;false
